Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Pyramids shopping center,"Beside mirage bay resort, Hurghada 1",3RVQ+27 Hurghada 1,Not available,4.3,56,North Sinai,https://maps.app.goo.gl/bDNie1ZB91bzFmeHA,3RVQ+27 Hurghada 1,27.092562,33.838188,https://lh5.googleusercontent.com/p/AF1QipOhnEBtqNw_E_pcf-kyoiswVVpQ3u-HpMZmxeRr,https://lh5.googleusercontent.com/p/AF1QipOnLphgncZgG9XHDC1da5FljZq_lFAfzMEGvmHP,https://lh5.googleusercontent.com/p/AF1QipPepFaPu86SX45k7GgDT9DPNO9LhrF2TQIHJCFe,https://lh5.googleusercontent.com/p/AF1QipPjZuE8p1uMfqLFapHG84w7dWSe6aDUTG2pPlHc,https://lh5.googleusercontent.com/p/AF1QipP8B3vj8Dr5VIcT08kX7ISShSYERTpv33OOXTw-,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNkDklvQemxIq5fn40gfHADhU2RXNKe0No-RiHQ,https://lh5.googleusercontent.com/p/AF1QipPuVR3fo9xA3W2yZjCr9xNTBLmsSB7TgHT_OoTm,https://lh5.googleusercontent.com/p/AF1QipO0lXtomeWeqWdSCKL9wxM1uww7NtCQ6O0FX4wO,https://lh5.googleusercontent.com/p/AF1QipO82Ct0n7I2BsQ4UqweXO4FO2UwHHSj__rceTVs,Malls,North Sinai,Shopping mall
Пямероцка,"Sheraton street, Touristic Villages, Hurghada 1, Red Sea Governorate 1962811",5RRM+PR Hurghada 1,youtube.com,5.0,4,North Sinai,https://maps.app.goo.gl/fXGkEZHkmGc9XZQ78,5RRM+PR Hurghada 1,27.191812,33.834563,https://lh5.googleusercontent.com/p/AF1QipNK5UGhFRW8czFK434k_KKvKM3Lb7UcO4ZDVd5F,https://lh5.googleusercontent.com/p/AF1QipOtekucQCMuU1wMjOOWzqLDxbEHOY--tMRNdTjz,https://lh5.googleusercontent.com/p/AF1QipPBCU6ri7EowokLwZ3-OPzO6wuanXVsiWWCBUC1,https://lh5.googleusercontent.com/p/AF1QipMruHkfKqy14Ol2_LWbttxeNSPc0mMcSIE1O4wx,https://lh5.googleusercontent.com/p/AF1QipPA9tFe-x0BrGrbvi5r0O7-pdJq5qFWMc0yMi39,https://lh5.googleusercontent.com/p/AF1QipM80yRPJOfX00CYIpyuLukByclhaFxAIDTgIOMS,https://lh5.googleusercontent.com/p/AF1QipMLOMOvq7st6gXk6ikLkmPyfOyLnxg1MyYiD0bA,https://lh5.googleusercontent.com/p/AF1QipNkI4WHIB0EPK0na7K3Iwu9T7SPW6dFhhniBTSd,https://lh5.googleusercontent.com/p/AF1QipOseJin9-iz4vpQ9AGoCAEXOWULdbcMBDOQ1Vxu,,,,,,,,,,,,Malls,North Sinai,Shopping mall
Caves Shopping Center,"Hurghada, Red Sea Governorate 1982214",8P85+8C Hurghada 2,Not available,3.1,17,North Sinai,https://maps.app.goo.gl/k2ZFRTmiDduZBNra8,8P85+8C Hurghada 2,27.315812,33.708562,https://lh5.googleusercontent.com/p/AF1QipOwIqNy6S2ergY6iwgLVdgmMHvDLFKpAkmKCrO9,https://lh5.googleusercontent.com/p/AF1QipMtNAv9E7sWHMFG5Z7UhVGR7eCxDQunsFexXFLB,https://lh5.googleusercontent.com/p/AF1QipNu_aksLI4ji_xA6529vcWzp4KskIX6GFFl6crO,https://lh5.googleusercontent.com/p/AF1QipNpRtiukPp6G_q4une5zPsFnmw2IP7GOmCQ8Wwf,https://lh5.googleusercontent.com/p/AF1QipPnccQHBuScu03R2yndhIdfPDyblWle_hiTjKuf,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOQIBbPiXSu1UYv_7Op1c0YU6rgUMwzNHdrtN9M,https://lh5.googleusercontent.com/p/AF1QipNyxb7KQAElRJ8lY3zKzUQLvxuwwZGIsaShpVXI,https://lh5.googleusercontent.com/p/AF1QipMm85cWQba_hpe7rkDjKx7d5-K0Iwtil9hj4TWi,,,,,,,Malls,North Sinai,Shopping mall
The Grand Mall,"5RFF+HM9, Touristic Villages, Hurghada 1, Red Sea Governorate 1962541",not available,sv-se.facebook.com,3.0,30,North Sinai,https://maps.app.goo.gl/6P3Y4qCJYh17yvDe8,not available,27.173938,33.824188,https://lh5.googleusercontent.com/p/AF1QipORtdNcCNR-s86scrKln4jD_Vwi8Hj0rqi6YYdq,https://lh5.googleusercontent.com/p/AF1QipMbt3X-BkeUCjJGNO2pCS9OQxuZ7qWlaneZ2qk,https://lh5.googleusercontent.com/p/AF1QipOg2nh0OQbl8pV3dtB3ADE9s7fbc44p1gE0ofoY,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipORf-icF2psTpM66JDqLsGTwupAQ5RbOlV6giA,https://lh5.googleusercontent.com/p/AF1QipN3hr32vNPXvKvnQj4tDvr-IOMYcfCwyCVcVJw,https://lh5.googleusercontent.com/p/AF1QipPshlhnG_B8E9PdIwusFehCsg5loPeEA1ka5q0,Malls,North Sinai,Shopping mall
Shopping Center,"36 Sheraton Rd, Hurghada 1, Red Sea Governorate 84511",6R9Q+25 Hurghada 1,Not available,4.2,384,North Sinai,https://maps.app.goo.gl/LGUbo5NmUXuincJo9,6R9Q+25 Hurghada 1,27.217562,33.837937,https://lh5.googleusercontent.com/p/AF1QipOfVgL6B8LJ7gmoR7uvSaDaHN5ZwbxoDzZuulJL,https://lh5.googleusercontent.com/p/AF1QipNoTLRDdyLZw_qehJ54D6iLRVFw7xNkUFkeag6N,https://lh5.googleusercontent.com/p/AF1QipMDYH_m4V9K9m3ZGNTAdZnQhrlY20TmqBm7NsbN,https://lh5.googleusercontent.com/p/AF1QipM5RcgMAydcZaKOOOZLk2Cf5J-y8BlkSOKwaEJd,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNRyPaZYjtqynA3tlmTP4_n0UB4mSGphPfJFKwF,https://lh5.googleusercontent.com/p/AF1QipNbf-TAPujSlS3pGu9nT7PUYyFXhClz9fFZXD62,Malls,North Sinai,Shopping mall
"Cleopatra Bazar Sheraton road, Hurghada","in front of Sea Gull resort, Sheraton Rd, Hurghada 1, Red Sea Governorate 84511",6R7R+G2 Hurghada 1,cleopatrabazar.com,4.3,264,North Sinai,https://maps.app.goo.gl/3MXnmJGookAGkTe36,6R7R+G2 Hurghada 1,27.213813,33.840063,https://lh5.googleusercontent.com/p/AF1QipM16edw95Bxd3jt-y0wEtE_uy4pjbg1AlFQeu2k,https://lh5.googleusercontent.com/p/AF1QipM2BcS423APBA02ahn1_Ji7Qa7BfWVnSlZU41Hb,https://lh5.googleusercontent.com/p/AF1QipNF_OmeBQYqO8TGi2DMOwTvh-ZSEdAhgufiqKMA,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNtU2Sb1reygOvGD9EVrJOWx_esdrbpE-FxAY7P,https://lh5.googleusercontent.com/p/AF1QipMIBncZH3uRRrPNPAx71gXS957TpTs-xskiHkxX,https://lh5.googleusercontent.com/p/AF1QipMcJANBrPjdjUUmxrkqU2cugodY8E2jJEyyhScP,https://lh5.googleusercontent.com/p/AF1QipPOU9V_hrDE4h-zG2gH2Ybp7jJrFDWEMY_qPWin,Malls,North Sinai,Shopping mall
El Souk Mall,"Hurghada, Red Sea Governorate 1964712",6R9Q+25 Hurghada 1,Not available,4.0,122,North Sinai,https://maps.app.goo.gl/C4Dmqafkz1r6Qi9n7,6R9Q+25 Hurghada 1,27.217562,33.837937,https://lh5.googleusercontent.com/p/AF1QipMSYahkMZq43rcrD2UC0f-vxNWN78sJtiNDueVd,https://lh5.googleusercontent.com/p/AF1QipPs_-Oo3BLOGZDOpDEAOEQ2m_A5MdB4mdT77r2b,https://lh5.googleusercontent.com/p/AF1QipPfRyGmS7i8ze1BDX1s52bETk3MxTPR7ci7D131,https://lh5.googleusercontent.com/p/AF1QipM6ZYz8b0eVgXtlKEYekCB5TSxc_Xhenyy82OPi,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNVwLL6TmSbDQq-l4aYnT-cZlWNNxrI6-SrQLDj,https://lh5.googleusercontent.com/p/AF1QipN02MWLmayz27kdMS--bvVzT8qkumDUQ0UDCPp-,https://lh5.googleusercontent.com/p/AF1QipP-ek02zFtY-1Uj41fqvT8g080AaoXuoyJ5x9mR,https://lh5.googleusercontent.com/p/AF1QipNj9-r1v_FAsgs9cIy0tTJ4inFUmeUYaMUkTumm,Malls,North Sinai,Shopping mall
Makadi Mall,"2W24+JH3, Hurghada 1, Red Sea Governorate 1960540",not available,Not available,3.7,187,North Sinai,https://maps.app.goo.gl/sA4yBn9tAhq2zaD77,not available,27.001562,33.906437,https://lh5.googleusercontent.com/p/AF1QipPQojlwJR8AOMWwMCrJw7xqTxKz0M5wwso6oojR,https://lh5.googleusercontent.com/p/AF1QipM_6oE3sfYuVUPaQu1St5lpLsXEoXmei3T9x6Au,https://lh5.googleusercontent.com/p/AF1QipM5jbuRbFx30mKFJEabG_DvBNBu-B6A0Fc_6xs_,https://lh5.googleusercontent.com/p/AF1QipPq3mnQewfAyuRTks57-NF1XqXOMq14vmQQDYQa,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOzGw5XHinu1p9qVmkMH6lfcpwIybsw5m7DtZi5,https://lh5.googleusercontent.com/p/AF1QipPM_pPZ8YqdMNYdfhcwxvJvaBw5PCPx_7mLiM3d,https://lh5.googleusercontent.com/p/AF1QipMhAva8RCZ0fUoYLxVYCAmts6aOrJwvzEHnDGVN,https://lh5.googleusercontent.com/p/AF1QipMiL5kf4a-PH-qveOfJGXvkuFQ6THpOZUdEXqzb,Malls,North Sinai,Shopping mall
Disney World Shopping Mall 2,"مدينه الغردقة منطقه الدهار شارع الكنيسه, Hurghada, Red Sea Governorate",7R27+XR Hurghada 2,https://www.facebook.com/disney2.hurghada/,4.1,50,North Sinai,https://maps.app.goo.gl/D2gh4VKPSwA1p1it9,7R27+XR Hurghada 2,27.252437,33.814563,,https://lh5.googleusercontent.com/p/AF1QipOIaIJ2xoTj5t_sLyJpO_ycRje_lz7naW-eqOpF,https://lh5.googleusercontent.com/p/AF1QipPc7ST_QAKNfKgoDvCMqDOY7h7sv8qFHMZlJS9I,https://lh5.googleusercontent.com/p/AF1QipN2DV1awdzH9uRDS4T-0drjRr4RPYhuNEVcAAvq,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPOeThV_3Fhv4JDKDb6SPtAKhR3Ay_tY-yc8Emd,https://lh5.googleusercontent.com/p/AF1QipM4JDAxkXdm_AXwdH175-udJJdeKA0eZY4hVyhb,https://lh5.googleusercontent.com/p/AF1QipOeqZT_PEcNh1KM5anU7C-ESjT-n30AXPO8OvXe,Malls,North Sinai,Shopping mall
Carrefour - Hurghada City Center,"7R4J+93W, El-Bahr, Hurghada 2, Red Sea Governorate 1972710",not available,Not available,4.4,"1,937",North Sinai,https://maps.app.goo.gl/vDdmYJwTcKUcaedD9,not available,27.255063,33.828812,https://lh5.googleusercontent.com/p/AF1QipOyUU4s44QsgrjfViHkzfmQ3lIUVO5vF8Wr_QGF,https://lh5.googleusercontent.com/p/AF1QipNdr23v7SwRXSsGKxgjUhedHVfmjbaRX5-BJBfp,https://lh5.googleusercontent.com/p/AF1QipMlU5Wsn4ksM1KuoGJnKhi65cHHl3_kS3rdk2a1,https://lh5.googleusercontent.com/p/AF1QipM6I7k7Ot925JzA8EEa7YWU3hxo7tz5YooeozSH,https://lh5.googleusercontent.com/p/AF1QipNfOn2NourvPtS5J226hgxd8ex2aR-9_QSsuOOR,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNLYBWrH3Gwr1DlhMlN-1H9O7FhHtnGGIhsvtQ5,https://lh5.googleusercontent.com/p/AF1QipOfBpnCb7ifALdpjzUj5f34i1HJpyxOOcaIKzD2,https://lh5.googleusercontent.com/p/AF1QipOdMUcrTItsoyP1vX0ZIHsLfA1i8XFZVk525O5o,https://lh5.googleusercontent.com/p/AF1QipMGSn1Eq3xC12YjwLjVKLdkxcU2Jw990rxz_Ljv,Malls,North Sinai,Hypermarket
3 Pyramids Shopping Center( free Wi-Fi) Free round trip transfer,"El Ahyaa district km 11 in front of Cesar Hawaii Hotel, Hurghada, Red Sea Governorate 84511",8P4F+44 Hurghada 2,Not available,4.4,365,North Sinai,https://maps.app.goo.gl/xmLXwc1NQszCRYc6A,8P4F+44 Hurghada 2,27.305312,33.722813,https://lh5.googleusercontent.com/p/AF1QipP2r5XdgiiHCQ1XPr9IMEB9Pissx3wr2_cmqwUs,https://lh5.googleusercontent.com/p/AF1QipM8ffeqpvMw5XuNqwYQN2kKqrd3hXYSOsgljQhE,https://lh5.googleusercontent.com/p/AF1QipNhynwHlB5T0gfEdhdoLqoK7RlAt17Ezug64UTS,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMwmNBMsr0NInbzzOB-455ULclENMTBlFS6LAqg,https://lh5.googleusercontent.com/p/AF1QipM5qHxlFutN4I1lYvUdU-FoTFsxp7liGanxihFh,https://lh5.googleusercontent.com/p/AF1QipOD1hMW85cqTjnxwv4A__Mik4n6nx73ZORUYl2o,Malls,North Sinai,Souvenir store
